Nombre                                             TipoDato  Valor                                              Longitud
a                                                  -         -                                                  -
b                                                  -         -                                                  -
c                                                  -         -                                                  -
d                                                  -         -                                                  -
e                                                  -         -                                                  -
f                                                  -         -                                                  -
g                                                  -         -                                                  -
h                                                  -         -                                                  -
i                                                  -         -                                                  -
j                                                  -         -                                                  -
k                                                  -         -                                                  -
l                                                  -         -                                                  -
_0                                                 -         0                                                  -
_1                                                 -         1                                                  -
_19.1                                              -         19.1                                               -
_18.                                               -         18.                                                -
_.17                                               -         .17                                                -
_99999.99                                          -         99999.99                                           -
_99.                                               -         99.                                                -
_.9999                                             -         .9999                                              -
_string                                            -         string                                             6
_string09                                          -         string09                                           8
_string 09                                         -         string 09                                          9
_Hol@, Mundo                                       -         Hol@, Mundo                                        11
_Hola % Mundo                                      -         Hola % Mundo                                       12
_        s t r i n g                               -                 s t r i n g                                22
_@sdADaSjfla%dfg                                   -         @sdADaSjfla%dfg                                    15
_asldk  fh sjf                                     -         asldk  fh sjf                                      13
x                                                  -         -                                                  -
_27                                                -         27                                                 -
r                                                  -         -                                                  -
_500                                               -         500                                                -
_34                                                -         34                                                 -
_3                                                 -         3                                                  -
z                                                  -         -                                                  -
_21                                                -         21                                                 -
_4                                                 -         4                                                  -
_2                                                 -         2                                                  -
_.27                                               -         .27                                                -
_50.0                                              -         50.0                                               -
_3.4                                               -         3.4                                                -
_3.                                                -         3.                                                 -
_.21                                               -         .21                                                -
_2.1                                               -         2.1                                                -
_a es mas grande que b                             -         a es mas grande que b                              21
_a es mas chico o igual a b                        -         a es mas chico o igual a b                         26
_10                                                -         10                                                 -
base                                               -         -                                                  -
_ewr                                               -         ewr                                                3
var1                                               -         -                                                  -
_a es mas grande que b y c es mas grande que b     -         a es mas grande que b y c es mas grande que b      45
_a es mas grande que b o c es mas grande que b     -         a es mas grande que b o c es mas grande que b      45
_a no es mas grande que b                          -         a no es mas grande que b                           24
_Par                                               -         Par                                                3
_35                                                -         35                                                 -
_100                                               -         100                                                -
_5                                                 -         5                                                  -
_6                                                 -         6                                                  -
